BUSSTOPID,STOP NUMBER,LOCATION,WINTER MAINTENANCE ZONE,WINTER MAINTENANCE ROUTE,WINTER MAINTENANCE LEVEL OF SERVICE,WINTER MAINTENANCE RESPONSIBILITY,COMMENTS
BS1247,7601,Bridge Terminal Bay 1 (7601),HRM Facilities Maintenance Contracts,,,HRMFAC,
BS1601,7610,Bridge Terminal Bay 10 (7610),HRM Facilities Maintenance Contracts,,,HRMFAC,BUS TERMINAL
BS1602,7611,Bridge Terminal Bay 11 (7611),HRM Facilities Maintenance Contracts,,,HRMFAC,BUS TERMINAL
BS1603,7612,Bridge Terminal Bay 12 (7612),HRM Facilities Maintenance Contracts,,,HRMFAC,BUS TERMINAL
BS1604,7613,Bridge Terminal Bay 13 (7613),HRM Facilities Maintenance Contracts,,,HRMFAC,BUS TERMINAL
BS1605,7614,Bridge Terminal Bay 14 (7614),HRM Facilities Maintenance Contracts,,,HRMFAC,BUS TERMINAL
BS1606,7615,Bridge Terminal Bay 15 (7615),HRM Facilities Maintenance Contracts,,,HRMFAC,BUS TERMINAL
BS1607,7616,Bridge Terminal Bay 16 (7616),HRM Facilities Maintenance Contracts,,,HRMFAC,BUS TERMINAL
BS1248,7602,Bridge Terminal Bay 2 (7602),HRM Facilities Maintenance Contracts,,,HRMFAC,
BS1249,7603,Bridge Terminal Bay 3 (7603),HRM Facilities Maintenance Contracts,,,HRMFAC,
BS1278,7604,Bridge Terminal Bay 4 (7604),HRM Facilities Maintenance Contracts,,,HRMFAC,
BS1279,7605,Bridge Terminal Bay 5 (7605),HRM Facilities Maintenance Contracts,,,HRMFAC,
BS1280,7606,Bridge Terminal Bay 6 (7606),HRM Facilities Maintenance Contracts,,,HRMFAC,
BS1281,7607,Bridge Terminal Bay 7 (7607),HRM Facilities Maintenance Contracts,,,HRMFAC,
BS1599,7608,Bridge Terminal Bay 8 (7608),HRM Facilities Maintenance Contracts,,,HRMFAC,BUS TERMINAL
BS1600,7609,Bridge Terminal Bay 9 (7609),HRM Facilities Maintenance Contracts,,,HRMFAC,BUS TERMINAL
BS2663,6297,Cobequid Terminal Bay 1 (6297),HRM Facilities Maintenance Contracts,,,HRMFAC,
BS2665,6299,Cobequid Terminal Bay 2 (6299),HRM Facilities Maintenance Contracts,,,HRMFAC,
BS1242,8030,Fall River Park and Ride (8030),HRM Facilities Maintenance Contracts,,,HRMFAC,SHELTER
BS2667,8140,Highfield Terminal Bay 1 (8140),HRM Facilities Maintenance Contracts,,,HRMFAC,BUS TERMINAL
BS2668,8141,Highfield Terminal Bay 2 (8141),HRM Facilities Maintenance Contracts,,,HRMFAC,BUS TERMINAL
BS2719,9101,Lacewood Terminal Bay 1 (9101),HRM Facilities Maintenance Contracts,,,HRMFAC,
BS2615,9110,Lacewood Terminal Bay 10 (9110),HRM Facilities Maintenance Contracts,,,HRMFAC,BUS TERMINAL
BS2616,9111,Lacewood Terminal Bay 11 (9111),HRM Facilities Maintenance Contracts,,,HRMFAC,BUS TERMINAL
BS2617,9112,Lacewood Terminal Bay 12 (9112),HRM Facilities Maintenance Contracts,,,HRMFAC,BUS TERMINAL
BS2618,9113,Lacewood Terminal Bay 13 (9113),HRM Facilities Maintenance Contracts,,,HRMFAC,BUS TERMINAL
BS2620,9114,Lacewood Terminal Bay 14 (9114),HRM Facilities Maintenance Contracts,,,HRMFAC,BUS TERMINAL
BS2606,9102,Lacewood Terminal Bay 2 (9102),HRM Facilities Maintenance Contracts,,,HRMFAC,BUS TERMINAL
BS2607,9103,Lacewood Terminal Bay 3 (9103),HRM Facilities Maintenance Contracts,,,HRMFAC,BUS TERMINAL
BS2608,9104,Lacewood Terminal Bay 4 (9104),HRM Facilities Maintenance Contracts,,,HRMFAC,BUS TERMINAL
BS2609,9105,Lacewood Terminal Bay 5 (9105),HRM Facilities Maintenance Contracts,,,HRMFAC,BUS TERMINAL
BS2610,9106,Lacewood Terminal Bay 6 (9106),HRM Facilities Maintenance Contracts,,,HRMFAC,BUS TERMINAL
BS2611,9107,Lacewood Terminal Bay 7 (9107),HRM Facilities Maintenance Contracts,,,HRMFAC,BUS TERMINAL
BS2612,9108,Lacewood Terminal Bay 8 (9108),HRM Facilities Maintenance Contracts,,,HRMFAC,BUS TERMINAL
BS2613,9109,Lacewood Terminal Bay 9 (9109),HRM Facilities Maintenance Contracts,,,HRMFAC,BUS TERMINAL
BS2672,8171,Micmac Terminal Bay 1 (8171),HRM Facilities Maintenance Contracts,,,HRMFAC,BUS TERMINAL
BS2673,8172,Micmac Terminal Bay 2 (8172),HRM Facilities Maintenance Contracts,,,HRMFAC,BUS TERMINAL
BS3278,2122,Mumford Rd Opposite Mumford Terminal Bay 4 (2122),HRM Facilities Maintenance Contracts,,,HRMFAC,
BS98,7285,Mumford Terminal Bay 1 (7285),HRM Facilities Maintenance Contracts,,,HRMFAC,BUS TERMINAL
BS2674,8640,Mumford Terminal Bay 2 (8640),HRM Facilities Maintenance Contracts,,,HRMFAC,BUS TERMINAL
BS2675,8641,Mumford Terminal Bay 3 (8641),HRM Facilities Maintenance Contracts,,,HRMFAC,BUS TERMINAL
BS2677,8940,Penhorn Terminal Bay 1 (8940),HRM Facilities Maintenance Contracts,,,HRMFAC,BUS TERMINAL
BS2678,8941,Penhorn Terminal Bay 2 (8941),HRM Facilities Maintenance Contracts,,,HRMFAC,BUS TERMINAL
BS2680,8943,Penhorn Terminal Bay 3 (8943),HRM Facilities Maintenance Contracts,,,HRMFAC,BUS TERMINAL
BS2681,8944,Penhorn Terminal Bay 4 (8944),HRM Facilities Maintenance Contracts,,,HRMFAC,BUS TERMINAL
BS2682,8945,Penhorn Terminal Bay 5 (8945),HRM Facilities Maintenance Contracts,,,HRMFAC,BUS TERMINAL
